[DEBUG] 2020-02-22 11:51:27.040 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-22 11:51:27.045 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-22 11:51:27.060 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-22 11:51:27.313 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-22 11:51:27.317 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-22 11:51:27.716 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-22 11:51:27.718 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-22 11:51:27.729 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-22 11:51:28.691 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-22 11:51:28.769 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-22 11:51:28.783 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-22 11:51:28.860 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-22 11:51:28.942 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@d0ec63
[DEBUG] 2020-02-22 11:51:28.943 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@d0ec63
[DEBUG] 2020-02-22 11:51:28.943 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@d0ec63
[DEBUG] 2020-02-22 11:51:28.945 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5e76a2bb
[DEBUG] 2020-02-22 11:51:28.947 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7ff2b8d2
[DEBUG] 2020-02-22 11:51:28.948 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@456be73c
[DEBUG] 2020-02-22 11:51:28.950 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@19f040ba
[DEBUG] 2020-02-22 11:51:28.953 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@19f040ba
[DEBUG] 2020-02-22 11:51:28.954 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@19f040ba
[DEBUG] 2020-02-22 11:51:28.956 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6d6cb754
[DEBUG] 2020-02-22 11:51:28.957 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6d6cb754
[DEBUG] 2020-02-22 11:51:28.957 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6d6cb754
[DEBUG] 2020-02-22 11:51:28.959 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@213deac2
[DEBUG] 2020-02-22 11:51:28.960 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@213deac2
[DEBUG] 2020-02-22 11:51:28.965 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@213deac2
[DEBUG] 2020-02-22 11:51:28.968 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5b5caf08
[DEBUG] 2020-02-22 11:51:28.968 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5b5caf08
[DEBUG] 2020-02-22 11:51:28.968 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5b5caf08
[DEBUG] 2020-02-22 11:51:28.971 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3e6f3bae
[DEBUG] 2020-02-22 11:51:28.971 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3e6f3bae
[DEBUG] 2020-02-22 11:51:28.972 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@3e6f3bae
[DEBUG] 2020-02-22 11:51:28.974 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@d400943
[DEBUG] 2020-02-22 11:51:28.974 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@d400943
[DEBUG] 2020-02-22 11:51:28.975 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@d400943
[DEBUG] 2020-02-22 11:51:28.977 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@aed0151
[DEBUG] 2020-02-22 11:51:28.977 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@aed0151
